14000:14005,14000,14001,14007:0:102
10045:24,19,20,458:0:102
10140:2330,2327,2328,2335:0:102
14003:14045,14037,14040,14038:0:102
10144:2166,2167,2168,2171:0:102
19005:30170,30167,30168,30175:0:102109
19012:30450,30447,30448,30455:0:102109
10800:4003,4000,4001,4008:0:102
19001:30050,30047,30048,30055:0:102109
10143:2506,2503,2504,2511:0:102
10135:2301,2297,2299,2306:0:102
10092:1076,1074,1075,1077:0:102
10145:2489,2486,2487,2493:0:102
10096:1095,1098,1099,2159:0:102
10050:60,55,56,455:0:102
10052:953,945,948,946:0:102
19010:30370,30367,30368,30375:0:102109
10093:1081,1084,1085,1371:0:102
10089:1057,1049,1052,1050:0:102
10046:30,25,26,464:0:102
10141:2187,2184,2185,2192:0:102
19004:30130,30127,30128,30135:0:102109
19071:33193,33190,33191,33198:0:102109
10097:1102,1105,1106,2280:0:102
10049:78,73,74,456:0:102
10128:1589,1586,1587,1593:0:102
19011:30410,30407,30408,30415:0:102109
10087:1038,1033,1034,1039:0:102
10124:1311,1306,1307,1312:0:102
19003:30001,30004,30007,30005:0:102109
10153:2230,2227,2228,2236:0:102
10139:2130,2131,2274:0:102
10136:1792,1789,1790,1796:1:102
10203:2449,2446,2447,2453:1:102
10088:1048,1043,1044,1042:1:102
19015:30570,30567,30568,30575:1:102109
19024:30930,30927,30928,30935:1:102109
19018:30690,30687,30688,30695:1:102109
10118:1242,1245,1246,1412:1:102
10062:72,67,68,454:1:102
10202:2429,2426,2427,2433:1:102
19021:30810,30807,30808,30815:1:102109
19022:30850,30847,30848,30855:1:102109
10102:1137,1140,1141,2399:1:102
10101:1130,1133,1134,2345:1:102
10055:943,935,938,936:1:102
19025:30970,30967,30968,30975:1:102109
10053:66,61,62,453:1:102
19014:30530,30527,30528,30535:1:102109
10056:892,884,887,885:1:102
10137:1945,1942,1943,1952:1:102
10201:2409,2406,2407,2413:1:102
10132:2210,2207,2208,2216:1:102
10047:36,31,32,459:1:102
19023:30890,30887,30888,30895:1:102109
19020:30770,30767,30768,30775:1:102109
19019:30730,30727,30728,30735:1:102109
19016:30610,30607,30608,30615:1:102109
10162:3121,3124,3125,3128:1:102
19041:31610,31607,31608,31615:2:102109
10138:1772,1769,1770,1776:2:102
19037:31450,31447,31448,31455:2:102109
19044:31730,31727,31728,31735:2:102109
10109:1179,1182,1183,2834:2:102
10110:1186,1189,1190,2397:2:102
19042:31650,31647,31648,31655:2:102109
10130:1754,1751,1752,1758:2:102
10204:2469,2466,2467,2473:2:102
19032:31250,31247,31248,31255:2:102109
19033:31290,31287,31288,31295:2:102109
10112:1200,1203,1204,1630:2:102
19031:31210,31207,31208,31215:2:102109
19030:31170,31167,31168,31175:2:102109
19038:31490,31487,31488,31495:2:102109
19026:31010,31007,31008,31015:2:102109
19035:31370,31367,31368,31375:2:102109
19036:31410,31407,31408,31415:2:102109
10119:1249,1252,1253,2347:2:102
10115:1221,1224,1225,2068:2:102
19028:31090,31087,31088,31095:2:102109
10123:1364,1366,1367,1619:2:102
19039:31530,31527,31528,31535:2:102109
10117:1235,1238,1239,2403:2:102
10500:2953,2950,2951,2956:2:102
10058:963,955,958,956:2:102
10116:1228,1231,1232,1360:2:102
19040:31570,31567,31568,31575:2:102109
10048:6,1,2,463:2:102
19027:31050,31047,31048,31055:2:102109
19048:31890,31887,31888,31895:3:102109
10126:1391,1388,1389,1395:3:102
19067:32863,32860,32861,32868:3:102
10133:2356,2352,2354,2360:3:102
10086:1030,1027,1029,1031:3:102
10061:48,43,44,457:3:102
19068:32909,32906,32907,32914:3:102
19065:32771,32768,32769,32776:3:102
19056:32210,32207,32208,32215:3:102109
19070:33001,32998,32999,33006:3:102
10063:913,905,908,906:3:102
19052:32050,32047,32048,32055:3:102109
19069:32955,32952,32953,32960:3:102
19047:31850,31847,31848,31855:3:102109
10091:1068,1063,1064,1069:3:102
10067:923,915,918,916:3:102
19072:33312,33309,33310,33319:3:102109
19045:31770,31767,31768,31775:3:102109
19060:32370,32367,32368,32375:3:102109
10064:1738,965,968,966:3:102
10154:2104,2101,2102,2110:3:102
19066:32817,32814,32815,32822:3:102
10122:86,81,10003,10124:3:102
19054:32130,32127,32128,32135:3:102109
19057:32250,32247,32248,32255:3:102109
10129:86,81,10003,10124:3:102
19058:86,81,10003,10124:3:102109
19055:32170,32167,32168,32175:3:102109
10060:18,13,14,452:3:102
10125:1380,1377,1378,1384:3:102
10160:1965,1962,1963,1970:3:102
10161:2075,2084,2087,2085:3:102
14001:14018,14010,14012,14011:3:102
19050:31970,31967,31968,31975:3:102109
19046:31810,31807,31808,31815:3:102109
10085:988,991,993,992:3:102
